color	comment	eid	group	anatomy	standardized_name	type	lab
#E41A1C	Outlier DNA methylation data due (older platform)	E017	IMR90	LUNG	IMR90 fetal lung fibroblasts Cell Line	CellLine	UCSD
#924965		E002	ESC	ESC	ES-WA7 Cells	PrimaryCulture	BI
#924965		E008	ESC	ESC	H9 Cells	PrimaryCulture	UCSD
#924965	Bad Methylation dataset. This epigenome is NOT to be used for DNA methylation analysis. All other data types are fine to use.	E001	ESC	ESC	ES-I3 Cells	PrimaryCulture	BI
#924965		E015	ESC	ESC	HUES6 Cells	PrimaryCulture	BI
#924965		E014	ESC	ESC	HUES48 Cells	PrimaryCulture	BI
#924965		E016	ESC	ESC	HUES64 Cells	PrimaryCulture	BI
#924965	Outlier DNA methylation dataset (older platform)	E003	ESC	ESC	H1 Cells	PrimaryCulture	BI;UCSD;UCSF-UBC
#924965		E024	ESC	ESC	ES-UCSF4  Cells	PrimaryCulture	UCSF-UBC
#69608A		E020	iPSC	IPSC	iPS-20b Cells	PrimaryCulture	BI
#69608A		E019	iPSC	IPSC	iPS-18 Cells	PrimaryCulture	BI
#69608A		E018	iPSC	IPSC	iPS-15b Cells	PrimaryCulture	BI
#69608A		E021	iPSC	IPSC	iPS DF 6.9 Cells	PrimaryCulture	UCSD
#69608A		E022	iPSC	IPSC	iPS DF 19.11 Cells	PrimaryCulture	UCSD
#4178AE		E007	ES-deriv	ESC_DERIVED	H1 Derived Neuronal Progenitor Cultured Cells	ESCDerived	UCSD
#4178AE		E009	ES-deriv	ESC_DERIVED	H9 Derived Neuronal Progenitor Cultured Cells	ESCDerived	BI
#4178AE		E010	ES-deriv	ESC_DERIVED	H9 Derived Neuron Cultured Cells	ESCDerived	BI
#4178AE		E013	ES-deriv	ESC_DERIVED	hESC Derived CD56+ Mesoderm Cultured Cells	ESCDerived	BI
#4178AE		E012	ES-deriv	ESC_DERIVED	hESC Derived CD56+ Ectoderm Cultured Cells	ESCDerived	BI
#4178AE		E011	ES-deriv	ESC_DERIVED	hESC Derived CD184+ Endoderm Cultured Cells	ESCDerived	BI
#4178AE		E004	ES-deriv	ESC_DERIVED	H1 BMP4 Derived Mesendoderm Cultured Cells	ESCDerived	UCSD
#4178AE		E005	ES-deriv	ESC_DERIVED	H1 BMP4 Derived Trophoblast Cultured Cells	ESCDerived	UCSD
#4178AE		E006	ES-deriv	ESC_DERIVED	H1 Derived Mesenchymal Stem Cells	ESCDerived	UCSD
#55A354		E062	Blood & T-cell	BLOOD	Primary mononuclear cells from peripheral blood	PrimaryCell	UCSF-UBC
#55A354		E034	Blood & T-cell	BLOOD	Primary T cells from peripheral blood	PrimaryCell	UW
#55A354		E045	Blood & T-cell	BLOOD	Primary T cells effector/memory enriched from peripheral blood	PrimaryCell	BI
#55A354		E033	Blood & T-cell	BLOOD	Primary T cells from cord blood	PrimaryCell	BI
#55A354		E044	Blood & T-cell	BLOOD	Primary T regulatory cells from peripheral blood	PrimaryCell	BI
#55A354		E043	Blood & T-cell	BLOOD	Primary T helper cells from peripheral blood	PrimaryCell	BI
#55A354		E039	Blood & T-cell	BLOOD	Primary T helper naive cells from peripheral blood	PrimaryCell	BI
#55A354		E041	Blood & T-cell	BLOOD	Primary T helper cells PMA-I stimulated	PrimaryCell	BI
