gene	fiber_type	log2FC	padj
ANKRD2	Type I	1.304284048	0.177642441
ATP2A2	Type I	3.122095363	5.18e-05
CA3	Type I	1.188312915	0.016112986
CASQ2	Type I	1.859387482	0.000101383
CD36	Type I	1.137941802	0.007988054
CYB5R1	Type I	1.340117764	4.86e-07
FABP3	Type I	1.105245886	0.075836501
LDHB	Type I	2.589851772	9.4e-07
MYH7	Type I	3.191136709	0.017030419
MYL12A	Type I	1.324068619	0.019221815
MYL2	Type I	3.288755845	0.001609126
MYL3	Type I	3.502454189	0.006224123
MYL6B	Type I	2.710231201	2.17e-05
MYOZ2	Type I	3.183631615	3.97e-05
PDLIM1	Type I	2.585965081	6.44e-09
PLN	Type I	0.956862225	0.114426903
TNNC1	Type I	3.350177591	0.000190532
TNNI1	Type I	3.244939998	0.00219742
TNNT1	Type I	3.469457708	0.000435711
TPM3	Type I	3.676937794	0.003169851
ALDOA	Type IIa	1.732300819	3.08e-06
ATP2A1	Type IIa	2.645791162	1.5e-05
DDIT4L	Type IIa	0.970119788	0.270128752
ENO3	Type IIa	1.669187828	5.35e-06
G0S2	Type IIa	1.053947019	0.222719047
GAPDH	Type IIa	1.317339834	0.00279065
LDHA	Type IIa	1.569512534	0.003188646
MYBPC2	Type IIa	3.106256723	2.67e-07
MYH1	Type IIa	1.721771917	0.349993461
MYH2	Type IIa	3.66529531	0.000627124
MYL1	Type IIa	1.591539208	0.044829102
MYLPF	Type IIa	3.135457668	0.004909725
PFKM	Type IIa	1.453632975	2.75e-07
PGM1	Type IIa	1.026936794	0.001645153
PKM	Type IIa	1.313936828	4.17e-08
SLN	Type IIa	1.559328582	0.044156416
TNNC2	Type IIa	2.859311011	0.008939849
TNNI2	Type IIa	3.432505102	0.004975314
TNNT3	Type IIa	3.810168701	0.005466023
TPM1	Type IIa	3.630761053	0.001645153
