hg19	rn6
ISCU	Iscu
MSRA	Msra
PTGDS	Ptgds
ZNRF1	Znrf1
ZNRF2	Znrf2
FAM195A	Fam195a
FAM195B	Fam195b
LSM5	Lsm5
GLUL	Glul
CITED4	Cited4
CITED2	Cited2
CITED1	Cited1
IDI1	Idi1
SIKE1	Sike1
FGFR1OP2	Fgfr1op2
LEPROTL1	Leprotl1
LEPROT	Leprot
FUT1	Fut1
ISOC1	Isoc1
DDX6	Ddx6
TMEM41A	Tmem41a
XPR1	Xpr1
UPK1B	Upk1b
TMEM41B	Tmem41b
UPK1A	Upk1a
IFRD2	Ifrd2
IFRD1	Ifrd1
PDE6G	Pde6g
PDE6H	Pde6h
HMGCS2	Hmgcs2
HMGCS1	Hmgcs1
PDGFA	Pdgfa
PDGFB	Pdgfb
CYB561D1	CYB561D1
YIF1B	Yif1b
YIF1A	Yif1a
XAF1	XAF1
TRAFD1	Trafd1
NT5C1A	Nt5c1a
FAM78A	Fam78a
GLRX2	GLRX2
FAM78B	RGD1564387
MRPL38	Mrpl38
IGKC	Igkc
CARHSP1	Carhsp1
CSDC2	Csdc2
ADCYAP1	Adcyap1
ZNF689	Zfp689
ZNF688	Zfp688
VIP	Vip
SLC25A37	Slc25a37
ERI2	Eri2
SLC25A28	Slc25a28
LYVE1	Lyve1
SPRY3	Spry3
SPRY4	Spry4
CD44	Cd44
PLA2G15	Pla2g15
OLIG1	Olig1
LCAT	Lcat
OLIG3	Olig3
SPRY2	Spry2
ERI3	Eri3
SPRY1	Spry1
MUL1	Mul1
ERI1	Eri1
OLA1	Ola1
BHLHE22	Bhlhe22
OLIG2	Olig2
PVALB	Pvalb
BHLHE23	Bhlhe23
RASSF2	Rassf2
ISG20	Isg20
DFNA5	Dfna5
LTC4S	Ltc4s
DNAJC12	Dnajc12
RASSF4	Rassf4
ISG20L2	Isg20l2
MGST2	Mgst2
AEN	Aen
DFNB59	Dfnb59
REXO4	Rexo4
RASSF6	Rassf6
ALOX5AP	Alox5ap
RELT	Relt
IL17C	Il17c
CCM2L	Ccm2l
RELL1	Rell1
RELL2	Rell2
TNFSF10	Tnfsf10
CCM2	Ccm2
IL17F	Il17f
MDH1	Mdh1
IL17A	Il17a
MNDA	Mnda
LMBR1	Lmbr1
AIM2	Aim2
CAV1	Cav1
MDH1B	Mdh1b
ROPN1L	Ropn1l
LMBR1L	Lmbr1l
CLEC14A	Clec14a
RFNG	Rfng
TK2	Tk2
ZNF426	Zfp426
ARFGAP3	Arfgap3
CAV2	Cav2
LFNG	Lfng
DCK	Dck
EXOSC7	Exosc7
PAPOLG	Papolg
CAV3	Cav3
OTOR	Otor
FCHSD2	Fchsd2
THBD	Thbd
AK8	Ak8
ARFGAP2	Arfgap2
FAM169A	Fam169a
DGUOK	Dguok
FDX1L	Fdx1l
RAE1	Rae1
SEC23A	Sec23a
ARPC1B	Arpc1b
BUB3	BUB3
CD93	Cd93
AK4	Ak4
EXOSC9	Exosc9
PAPOLA	Papola
AK3	Ak3
FAM169B	Fam169b
IRGC	Irgc
FCHSD1	Fchsd1
FDX1	Fdx1
SNCB	Sncb
MFNG	Mfng
ARPC1A	Arpc1a
SNCA	Snca
KIAA1551	RGD1309621
CCDC9	Ccdc9
WDR25	Wdr25
IRGM	Irgm
PMFBP1	Pmfbp1
SNCG	Sncg
ZNF704	Zfp704
ZXDC	Zxdc
SEC23B	SEC23B
CDC40	Cdc40
C15orf52	A430105I19Rik
VGLL2	Vgll2
AGXT2	Agxt2
PGLYRP2	Pglyrp2
FGF19	Fgf19
SLC38A8	Slc38a8
PPA1	Ppa1
HORMAD1	Hormad1
PPA2	Ppa2
RPL34	Rpl34
PLD4	Pld4
PGLYRP4	Pglyrp4
ZNF395	Zfp395
PNKP	Pnkp
HORMAD2	Hormad2
